epoch loss function
0 0.01975422689544135 V3b
1 0.015141042194476253 V3b
2 0.013538558097360166 V3b
3 0.012753167508268043 V3b
4 0.012351596139763532 V3b
5 0.012212325414446624 V3b
6 0.01175731938871506 V3b
7 0.011695830335252379 V3b
8 0.011503665806039384 V3b
9 0.011572537024652487 V3b
10 0.011139149985913383 V3b
11 0.01084745648366056 V3b
12 0.010745226276891404 V3b
13 0.010756561244641872 V3b
14 0.010487947294390515 V3b
15 0.010253101752727832 V3b
16 0.010054483856564682 V3b
17 0.01007644392819585 V3b
18 0.01041975785904613 V3b
19 0.010136280570326275 V3b
20 0.009618292991562109 V3b
21 0.00941643557560287 V3b
22 0.009498927975073457 V3b
23 0.009248178795372186 V3b
24 0.00868844276441163 V3b
25 0.008102769473273503 V3b
26 0.007633911255796097 V3b
27 0.007475954174113117 V3b
28 0.007886697948714229 V3b
29 0.009181567234918475 V3b
30 0.008571634608271875 V3b
31 0.009353643387409025 V3b
32 0.00878690204607617 V3b
33 0.007078373492205222 V3b
34 0.006523033941017562 V3b
35 0.007227518050441225 V3b
36 0.006949442114043785 V3b
37 0.00546109567911021 V3b
38 0.00538087115426989 V3b
39 0.005094955589524225 V3b
40 0.0060770458321234115 V3b
41 0.004655808158292386 V3b
42 0.0046332538232060246 V3b
43 0.005859663274972455 V3b
44 0.004807640329665064 V3b
45 0.004765024886613614 V3b
46 0.004605163250265545 V3b
47 0.004470613313299653 V3b
48 0.003602289343497863 V3b
49 0.006174113478903708 V3b
50 0.006619542990321 V3b
51 0.0043458142409738346 V3b
52 0.003430320823099464 V3b
53 0.003364654705173483 V3b
54 0.003100457267321058 V3b
55 0.003014081479417846 V3b
56 0.0029553790411323702 V3b
57 0.0028370607423743137 V3b
58 0.0028375874665614808 V3b
59 0.0029436959211077344 V3b
60 0.002685374001310648 V3b
61 0.0026920997525418273 V3b
62 0.0027047633469153786 V3b
63 0.002593947128748129 V3b
64 0.0024037646883363394 V3b
65 0.0023366491873993687 V3b
66 0.0022688930713277507 V3b
67 0.0023905548931859237 V3b
68 0.0029188057677330156 V3b
69 0.0027173234235593363 V3b
70 0.0024020754606585556 V3b
71 0.0024052206656625984 V3b
72 0.002679417148771647 V3b
73 0.002365183146474393 V3b
74 0.0021826872390719424 V3b
75 0.002180214095125465 V3b
76 0.0024908612525139594 V3b
77 0.002360803450420989 V3b
78 0.0021798250979229218 V3b
79 0.0021860275040748284 V3b
80 0.0020997513615599785 V3b
81 0.0020615208195522428 V3b
82 0.0020360096746835075 V3b
83 0.0020903583560874196 V3b
84 0.0020951556231777525 V3b
85 0.0020272574482461145 V3b
86 0.0021013154611481647 V3b
87 0.0021285374287368826 V3b
88 0.002128353850965045 V3b
89 0.0021095485135447234 V3b
90 0.002068188249770748 V3b
91 0.0019580620757647252 V3b
92 0.00206065591345051 V3b
